case	phase	command	stdout_log	output	sha256	size_bytes
new-meadows-id-seed0	run-a	/home/workdir/cligen-rs/docs/work-packages/20260709-golden-fixture-harness/artifacts/build-run-a/cligen532-pinned -iid106388.par	docs/work-packages/20260709-golden-fixture-harness/artifacts/logs/run-a-new-meadows-id-seed0.log	docs/work-packages/20260709-golden-fixture-harness/artifacts/goldens/new-meadows-id-seed0.cli	a069cb61cb4b9579e9735720a6701930586e0ac6e1156118509971adb50a4ea5	804779
new-meadows-id-seed17	run-a	/home/workdir/cligen-rs/docs/work-packages/20260709-golden-fixture-harness/artifacts/build-run-a/cligen532-pinned -r17 -iid106388.par	docs/work-packages/20260709-golden-fixture-harness/artifacts/logs/run-a-new-meadows-id-seed17.log	docs/work-packages/20260709-golden-fixture-harness/artifacts/goldens/new-meadows-id-seed17.cli	b46ce287a8bc3f0a5aed8c9ee2f3ab4db0947ed50d4e4f03c62c8781038b7d8d	804784
jeogla-au-seed0	run-a	/home/workdir/cligen-rs/docs/work-packages/20260709-golden-fixture-harness/artifacts/build-run-a/cligen532-pinned -iASN00057011.par	docs/work-packages/20260709-golden-fixture-harness/artifacts/logs/run-a-jeogla-au-seed0.log	docs/work-packages/20260709-golden-fixture-harness/artifacts/goldens/jeogla-au-seed0.cli	9446451d87778fbaeb9456e529ffbcc25f487fe5ae87d5a537bacd367ddaed78	1090060
jeogla-au-seed17	run-a	/home/workdir/cligen-rs/docs/work-packages/20260709-golden-fixture-harness/artifacts/build-run-a/cligen532-pinned -r17 -iASN00057011.par	docs/work-packages/20260709-golden-fixture-harness/artifacts/logs/run-a-jeogla-au-seed17.log	docs/work-packages/20260709-golden-fixture-harness/artifacts/goldens/jeogla-au-seed17.cli	69610acd18c14e0bb2589b91be9f06f03c7afb76c8acb32e98ca7b71c06db701	1090065
mt-wilson-ca-observed-seed0	run-a	/home/workdir/cligen-rs/docs/work-packages/20260709-golden-fixture-harness/artifacts/build-run-a/cligen532-pinned -ica046006.par -Ows.prn -owepp.cli -t6 -I2	docs/work-packages/20260709-golden-fixture-harness/artifacts/logs/run-a-mt-wilson-ca-observed-seed0.log	docs/work-packages/20260709-golden-fixture-harness/artifacts/goldens/mt-wilson-ca-observed-seed0.cli	234f6227b0b3d59b5f5a933f1b11dbf5ac65d554d9ee0334f1bc05a17bb7cab0	545512
mt-wilson-ca-observed-seed17	run-a	/home/workdir/cligen-rs/docs/work-packages/20260709-golden-fixture-harness/artifacts/build-run-a/cligen532-pinned -r17 -ica046006.par -Ows.prn -owepp.cli -t6 -I2	docs/work-packages/20260709-golden-fixture-harness/artifacts/logs/run-a-mt-wilson-ca-observed-seed17.log	docs/work-packages/20260709-golden-fixture-harness/artifacts/goldens/mt-wilson-ca-observed-seed17.cli	3fc4ada84eb4e23fd82e0bb8da763de785de78b75e42aece750703b0a1b560c0	545517
fish-springs-ut-observed-padded-seed0	run-a	/home/workdir/cligen-rs/docs/work-packages/20260709-golden-fixture-harness/artifacts/build-run-a/cligen532-pinned -iut422852.par -Ows.prn -owepp.cli -t6 -I2	docs/work-packages/20260709-golden-fixture-harness/artifacts/logs/run-a-fish-springs-ut-observed-padded-seed0.log	docs/work-packages/20260709-golden-fixture-harness/artifacts/goldens/fish-springs-ut-observed-padded-seed0.cli	a26b7c5537c3b94bd4d1ffbd5644806bc37744b2b6ed1dbc49152d6ce619af9c	182489
fish-springs-ut-observed-padded-seed17	run-a	/home/workdir/cligen-rs/docs/work-packages/20260709-golden-fixture-harness/artifacts/build-run-a/cligen532-pinned -r17 -iut422852.par -Ows.prn -owepp.cli -t6 -I2	docs/work-packages/20260709-golden-fixture-harness/artifacts/logs/run-a-fish-springs-ut-observed-padded-seed17.log	docs/work-packages/20260709-golden-fixture-harness/artifacts/goldens/fish-springs-ut-observed-padded-seed17.cli	32d8459850095eb0884c4b3f439b8c8be54fd02ac340ae1e86037b9b0d7dba39	182494
fish-springs-ut-observed-truncated-seed0	run-a	/home/workdir/cligen-rs/docs/work-packages/20260709-golden-fixture-harness/artifacts/build-run-a/cligen532-pinned -iut422852.par -Ows-truncated.prn -owepp.cli -t6 -I2	docs/work-packages/20260709-golden-fixture-harness/artifacts/logs/run-a-fish-springs-ut-observed-truncated-seed0.log	docs/work-packages/20260709-golden-fixture-harness/artifacts/goldens/fish-springs-ut-observed-truncated-seed0.cli	7974ffd427a2b1f28d4d13e5b5ab120e600883735556c6c95e860d83c1e78047	169932
fish-springs-ut-observed-truncated-seed17	run-a	/home/workdir/cligen-rs/docs/work-packages/20260709-golden-fixture-harness/artifacts/build-run-a/cligen532-pinned -r17 -iut422852.par -Ows-truncated.prn -owepp.cli -t6 -I2	docs/work-packages/20260709-golden-fixture-harness/artifacts/logs/run-a-fish-springs-ut-observed-truncated-seed17.log	docs/work-packages/20260709-golden-fixture-harness/artifacts/goldens/fish-springs-ut-observed-truncated-seed17.cli	b31b38dad35f161205ce5e1bb0499f69f5a6886a3bb4b5453dfe4126d9b948ee	169937
