case,faithful_median_s,fast_batch_median_s,faithful_to_fast_batch_median_ratio,faithful_stdev_s,fast_batch_stdev_s
new-meadows-id-seed0,0.087830343,0.043153161,2.035316555373545,0.006090110498949735,0.0014487879589104486
new-meadows-id-seed17,0.063186645,0.043051406,1.4677022395040942,0.0007923623753718708,0.0017343383379290018
jeogla-au-seed0,0.072937136,0.058029866,1.2568896161159497,0.013621023033499503,0.0032923945519662836
jeogla-au-seed17,1.418517056,0.05724484,24.779823928235277,0.019360912425328523,0.0020517637127426
mt-wilson-ca-observed-seed0,0.053385963,0.041064501,1.3000514239780971,0.0010365076841210364,0.0018268711863526597
mt-wilson-ca-observed-seed17,0.47972432,0.04148539,11.56369314594849,0.0039024173166575474,0.004485910603271218
fish-springs-ut-observed-padded-seed0,0.019242235,0.015820155,1.2163114078212256,0.0011747032206199188,0.00034936451609451154
fish-springs-ut-observed-padded-seed17,0.045929694,0.015899828,2.8886912487355207,0.0006397000035786119,0.0002760174226147779
fish-springs-ut-observed-truncated-seed0,0.018145486,0.014543016,1.2477113413063698,0.0005715148554834238,0.0004379878154682698
fish-springs-ut-observed-truncated-seed17,0.037650862,0.014557525,2.586350495705829,0.0007437461690118542,0.00014749368266697612
new-meadows-id-single-storm-seed0,0.002267013,0.0022545,1.005550232867598,0.00031143540108335846,6.0444237701254194e-05
new-meadows-id-single-storm-seed17,0.002331563,0.002255228,1.0338480189142738,0.00048000795437982567,0.00011411693025097004
