file	doi	version	retrieved	source_url	landing_url	license	license_url	sha256
chandler-2020-rglimclim.pdf	10.1016/j.envsoft.2020.104867	version of record	2026-07-12	https://discovery.ucl.ac.uk/id/eprint/10106175/7/Chandler_Multisite%2C%20multivariate%20weather%20generation%20based%20on%20generalised%20linear%20models_VoR.pdf	https://discovery.ucl.ac.uk/id/eprint/10106175/	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	a54846fa9461b88972c6688485a121323425c0ce5103bc96ca0f235ccbc1510d
chen-et-al-2012-weagets.pdf	10.1016/j.proenv.2012.01.211	version of record	2026-07-12	https://espace2.etsmtl.ca/id/eprint/14045/1/Brissette%20F%202011%2014045.pdf	https://espace2.etsmtl.ca/id/eprint/14045/	CC BY-NC-ND 3.0	https://creativecommons.org/licenses/by-nc-nd/3.0/	18ecbc1fed2a0c493eb5d52bbd4ec51840376b141fda930a3f74ea1f715c5f10
evin-et-al-2018-gwex.pdf	10.5194/hess-22-655-2018	version of record	2026-07-12	https://hess.copernicus.org/articles/22/655/2018/hess-22-655-2018.pdf	https://hess.copernicus.org/articles/22/655/2018/	CC BY 3.0	https://creativecommons.org/licenses/by/3.0/	af59f5641b89168661674569d779acb25b0cfe6762bdafdbe818286891571eb1
fullhart-et-al-2021-international-cligen-parameters.pdf	10.5194/essd-13-435-2021	version of record	2026-07-12	https://essd.copernicus.org/articles/13/435/2021/essd-13-435-2021.pdf	https://essd.copernicus.org/articles/13/435/2021/	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	f21c553980b36819d5c74a829a5350cf63ca091f45d58df23708d5adfbecef65
fullhart-et-al-2023-africa-south-america-cligen.pdf	10.1080/20964471.2022.2136610	version of record	2026-07-12	https://www.tucson.ars.ag.gov/unit/publications/PDFfiles/2711.pdf	https://doi.org/10.1080/20964471.2022.2136610	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	f202b16bb18c7613168ae06323f11509365f395471173eaf9a2697800fbc8887
groenke-et-al-2026-sbi-weather-generator.pdf	10.1029/2025JH000902	version of record	2026-07-12	https://publikationen.bibliothek.kit.edu/1000192400/179506547	https://doi.org/10.1029/2025JH000902	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	176db2639a8374dd4917dc927d06738fdb4c1c7742df054af6bb1dc8e1e79280
najibi-et-al-2024-california-part-1.pdf	10.1016/j.cliser.2024.100489	version of record	2026-07-12	https://par.nsf.gov/servlets/purl/10535410	https://doi.org/10.1016/j.cliser.2024.100489	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	4e4a6defb9b4e67126929e619abca8d951fd377408fc49f4aa04408c6956d9cb
najibi-et-al-2024-california-part-2.pdf	10.1016/j.cliser.2024.100485	version of record	2026-07-12	https://par.nsf.gov/servlets/purl/10535411	https://doi.org/10.1016/j.cliser.2024.100485	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	68b66bb4e72631ff92e38eb3a69948fa912c2d1fddd838ef7ad8e17e9dc8b0b7
obakrim-et-al-2025-mstweathergen.pdf	10.1007/s00477-024-02897-8	version of record	2026-07-12	https://link.springer.com/content/pdf/10.1007/s00477-024-02897-8.pdf?pdf=button	https://link.springer.com/article/10.1007/s00477-024-02897-8	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	5cab0e9efc8724a92cc15ccfae1ccb88f030370e2e41c508e9a501c7d5a02a11
onof-wang-2020-bartlett-lewis.pdf	10.5194/hess-24-2791-2020	version of record	2026-07-12	https://hess.copernicus.org/articles/24/2791/2020/hess-24-2791-2020.pdf	https://hess.copernicus.org/articles/24/2791/2020/	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	916a8696b513597278dd012c58048a1e59ea557387786064e1a8f4df3ec85129
onof-wang-2023-bartlett-lewis-corrigendum.pdf	10.5194/hess-24-2791-2020-corrigendum	corrigendum	2026-07-12	https://hess.copernicus.org/articles/24/2791/2020/hess-24-2791-2020-corrigendum.pdf	https://doi.org/10.5194/hess-24-2791-2020-corrigendum	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	c534a6bc190e62762cacebb8f9e12a97b8660e18733b9118247e20beacfffef6
park-et-al-2019-hybrid-rainfall.pdf	10.5194/hess-23-989-2019	version of record	2026-07-12	https://hess.copernicus.org/articles/23/989/2019/hess-23-989-2019.pdf	https://hess.copernicus.org/articles/23/989/2019/	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	ce9104305c54d336f71866a42c91ad449b1181740f33cfb76f0e9a5d643ebd4d
rios-gaona-et-al-2024-storm-v2.pdf	10.5194/gmd-17-5387-2024	version of record	2026-07-12	https://gmd.copernicus.org/articles/17/5387/2024/gmd-17-5387-2024.pdf	https://gmd.copernicus.org/articles/17/5387/2024/	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	5e7b132127dc6e308679d61d263e8f947b98fe7b1b047507b2e3fd1468e81dd1
schuddeboom-et-al-2026-eggs-wg-preprint.pdf	10.5194/egusphere-2026-1651	preprint under review	2026-07-12	https://egusphere.copernicus.org/preprints/2026/egusphere-2026-1651/egusphere-2026-1651.pdf	https://egusphere.copernicus.org/preprints/2026/egusphere-2026-1651/	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	33619a3d97748787a2eea8b0cf9ac79efcb551eb1ffe94211b86e50b5ef6f3b2
sparks-et-al-2018-image.pdf	10.1007/s00477-017-1433-9	version of record	2026-07-12	https://link.springer.com/content/pdf/10.1007/s00477-017-1433-9.pdf?pdf=button	https://link.springer.com/article/10.1007/s00477-017-1433-9	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	d366659cf3e97c8624da02ae24d6907278f7a03459c84b585f414581114fb64a
